 GRB	  Tel  Yr   Mo     Dat      Days    Freq      Fl      rms   Ref
 970508   VLA  1997  May   31.99   23.09    8.46     290.      46.  fwk00 
 970508   VLA  1997 Jun.    1.00   23.10    1.43     -99.      52.  fwk00 
 970508  WSRT  1997 Jun.    1.39   23.49    1.40      60.     140.  gwb+98
 970508   VLA  1997 Jun.    2.29   24.39    4.86     650.      44.  fwk00 
 970508   VLA  1997 Jun.    2.29   24.39    8.46     720.      62.  fwk00 
 970508   VLA  1997 Jun.    2.32   24.41    1.43     135.      45.  fwk00 
 970508  WSRT  1997 Jun.    2.39   24.49    1.40     100.     120.  gwb+98
 970508   VLA  1997 Jun.    2.41   24.51    8.46     940.      27.  fwk00 
 970508   VLA  1997 Jun.    2.50   24.60    8.46     960.      40.  fwk00 
 970508   VLA  1997 Jun.    2.90   25.00    4.86     540.      46.  fwk00 
 970508   VLA  1997 Jun.    2.90   25.00    8.46     760.      45.  fwk00 
 970508   VLA  1997 Jun.    3.94   26.04    4.86     530.      51.  fwk00 
 970508   VLA  1997 Jun.    3.94   26.04    8.46     670.      43.  fwk00 
 970508   VLA  1997 Jun.    5.97   28.07    4.86     850.      36.  fwk00 
 970508   VLA  1997 Jun.    5.97   28.07    8.46     690.      28.  fwk00 
 970508  WSRT  1997 Jun.    6.42   28.52    1.40      70.     150.  gwb+98
 970508  WSRT  1997 Jun.    8.43   30.53    1.40      30.     370.  gwb+98
 970508   VLA  1997 Jun.    9.74   31.84    4.86     470.      38.  fwk00 
 970508   VLA  1997 Jun.    9.74   31.84    8.46     530.      38.  fwk00 
 970508  WSRT  1997 Jun.   10.70   32.80    1.40      50.     140.  gwb+98
 970508   VLA  1997 Jun.   12.83   34.93    1.43     130.      20.  fwk00 
 970508   VLA  1997 Jun.   12.99   35.09    4.86     640.      43.  fwk00 
 970508   VLA  1997 Jun.   12.99   35.09    8.46     600.      39.  fwk00 
 970508  WSRT  1997 Jun.   14.37   36.47    1.40      70.     120.  gwb+98
 970508   VLA  1997 Jun.   14.73   36.83    4.86     590.      69.  fwk00 
 970508   VLA  1997 Jun.   14.73   36.83    8.46     460.      66.  fwk00 
 970508  WSRT  1997 Jun.   15.37   37.47    1.40      10.     120.  gwb+98
 970508  WSRT  1997 Jun.   16.44   38.54    1.40      90.     130.  gwb+98
 970508   VLA  1997 Jun.   17.92   40.02    4.86     400.      49.  fwk00 
 970508   VLA  1997 Jun.   17.92   40.02    8.46     560.      40.  fwk00 
 970508   VLA  1997 Jun.   18.96   41.06    4.86     640.      55.  fwk00 
 970508   VLA  1997 Jun.   18.96   41.06    8.46     630.      63.  fwk00 
 970508   VLA  1997 Jun.   20.86   42.96    4.86     550.      36.  fwk00 
 970508   VLA  1997 Jun.   20.86   42.96    8.46     800.      32.  fwk00 
 970508   VLA  1997 Jun.   22.93   45.03    4.86     425.      43.  fwk00 
 970508   VLA  1997 Jun.   22.93   45.03    8.46     645.      38.  fwk00 
 970508   VLA  1997 Jun.   26.63   48.73    4.86     610.      70.  fwk00 
 970508   VLA  1997 Jun.   26.63   48.73    8.46     680.      46.  fwk00 
 970508   VLA  1997 Jun.   28.68   50.78    4.86     500.      34.  fwk00 
 970508   VLA  1997 Jun.   28.68   50.78    8.46     565.      36.  fwk00 
 970508  WSRT  1997 Jul.    1.49   53.59    1.40     370.      50.  gwb+98
 970508   VLA  1997 Jul.    2.36   54.46    4.86     805.      38.  fwk00 
 970508   VLA  1997 Jul.    2.36   54.46    8.46     805.      43.  fwk00 
 970508   VLA  1997 Jul.    4.59   56.69    4.86     605.      50.  fwk00 
 970508   VLA  1997 Jul.    4.59   56.69    8.46     710.      49.  fwk00 
 970508   VLA  1997 Jul.   11.10   63.20    4.86     630.      32.  fwk00 
 970508   VLA  1997 Jul.   11.10   63.20    8.46     725.      40.  fwk00 
 970508  WSRT  1997 Jul.   14.45   66.55    1.40     490.      80.  gwb+98
 970508   VLA  1997 Jul.   14.61   66.71    4.86     585.      48.  fwk00 
 970508   VLA  1997 Jul.   14.61   66.71    8.46     680.      46.  fwk00 
 970508   VLA  1997 Jul.   15.33   67.43    4.86     550.      31.  fwk00 
 970508   VLA  1997 Jul.   15.33   67.43    8.46     630.      37.  fwk00 
 970508   VLA  1997 Jul.   18.44   70.54    4.86     505.      62.  fwk00 
 970508   VLA  1997 Jul.   18.44   70.54    8.46     575.      61.  fwk00 
 970508   VLA  1997 Jul.   18.62   70.72    1.43     305.      48.  fwk00 
 970508   VLA  1997 Jul.   18.64   70.74    4.86     535.      43.  fwk00 
 970508   VLA  1997 Jul.   18.64   70.74    8.46     515.      41.  fwk00 
 970508   VLA  1997 Jul.   22.55   74.65    4.86     385.      51.  fwk00 
 970508   VLA  1997 Jul.   22.55   74.65    8.46     440.      51.  fwk00 
 970508  WSRT  1997 Jul.   26.62   78.72    1.40     110.     140.  gwb+98
 970508   VLA  1997 Jul.   28.94   81.03    1.43     485.      45.  fwk00 
 970508   VLA  1997 Jul.   30.46   82.56    4.86     360.      70.  fwk00 
 970508   VLA  1997 Jul.   30.46   82.56    8.46     455.      85.  fwk00 
 970508   VLA  1997 Aug.    4.01   87.11    4.86     370.      38.  fwk00 
 970508   VLA  1997 Aug.    4.01   87.11    8.46     380.      42.  fwk00 
 970508  WSRT  1997 Aug.    4.23   87.33    1.40     430.     170.  gwb+98
